Enterprise_ID,Region,Enterprise_Size,Revenue,Expenses,Loan_Amount,Debt_to_Equity,Avg_Temperature,Rainfall,Drought_Index,Flood_Risk_Score,Commodity_Price_Index,Input_Cost_Index,Policy_Support_Score,Quarter,Net_Profit,Financial_Risk_Level
ENT0001,East,Large,511.04,620.91,96.82,0.73,40.2,128.1,0.84,0.78,141.44,58.87,4,Q4,-109.86999999999995,Medium
ENT0002,West,Small,479.35,428.89,239.25,1.26,23.6,256.6,0.42,0.84,95.88,44.67,8,Q1,50.460000000000036,High
ENT0003,North,Medium,277.55,450.88,101.68,0.53,21.2,185.9,0.83,0.86,125.52,56.3,6,Q3,-173.32999999999998,Medium
ENT0004,East,Large,516.86,145.1,76.83,1.41,24.3,77.8,0.93,0.48,88.41,61.58,6,Q2,371.76,High
ENT0005,East,Large,402.45,425.76,66.73,1.61,18.4,112.1,0.02,0.4,79.6,42.32,6,Q2,-23.310000000000002,Medium
ENT0006,West,Large,592.77,260.61,59.97,0.96,24.6,45.0,0.06,0.75,116.28,46.56,10,Q1,332.15999999999997,Medium
ENT0007,North,Large,438.55,351.3,221.14,1.76,26.4,177.4,0.13,0.57,61.41,61.51,6,Q2,87.25,High
ENT0008,North,Small,463.9,404.69,266.25,1.72,31.0,176.0,0.12,0.97,92.97,48.06,1,Q4,59.20999999999998,High
ENT0009,East,Large,280.96,369.79,69.19,1.77,28.5,261.1,0.45,0.38,78.52,55.76,7,Q2,-88.83000000000004,High
ENT0010,South,Medium,228.28,336.4,25.57,1.36,26.7,256.7,0.76,0.04,99.84,46.74,9,Q1,-108.11999999999998,Medium
ENT0011,East,Small,779.15,337.3,94.13,0.68,36.7,251.1,0.96,0.59,81.05,38.41,0,Q3,441.84999999999997,Medium
ENT0012,East,Large,519.45,378.9,197.35,1.01,29.0,164.7,0.42,0.35,96.97,55.15,5,Q4,140.55000000000007,Medium
ENT0013,East,Small,560.65,374.53,110.56,1.45,33.2,195.6,0.69,0.34,108.43,65.17,10,Q1,186.12,High
ENT0014,East,Medium,363.16,402.03,164.75,0.5,30.5,232.7,0.64,0.56,102.6,54.1,2,Q1,-38.86999999999995,Medium
ENT0015,West,Large,631.33,394.55,223.29,1.5,33.0,27.5,0.39,0.92,89.25,56.15,5,Q2,236.78000000000003,High
ENT0016,North,Medium,604.27,527.89,122.54,1.14,31.7,90.2,0.72,0.27,93.16,56.31,5,Q1,76.38,Medium
ENT0017,West,Large,379.64,195.04,299.91,0.28,30.2,50.7,0.59,0.38,145.09,66.63,7,Q3,184.6,Medium
ENT0018,West,Large,341.07,424.5,89.38,1.16,29.0,153.4,0.76,0.89,117.66,46.84,3,Q1,-83.43,High
ENT0019,West,Large,390.12,407.1,293.47,0.23,33.4,251.3,0.19,0.9,95.36,27.82,2,Q1,-16.980000000000018,Medium
ENT0020,East,Large,495.76,386.58,60.91,0.13,23.1,69.2,0.36,0.23,103.57,62.61,1,Q3,109.18,Low
ENT0021,South,Large,525.07,329.42,33.28,1.79,22.3,219.3,0.67,0.71,109.03,35.26,5,Q1,195.65000000000003,High
ENT0022,North,Small,505.76,385.03,225.25,1.03,18.0,121.7,0.12,0.42,84.76,45.18,2,Q3,120.73000000000002,Medium
ENT0023,South,Large,694.81,236.65,210.69,1.13,28.6,270.9,0.77,0.94,100.04,42.05,3,Q3,458.15999999999997,High
ENT0024,West,Large,392.76,420.67,243.35,0.63,31.8,188.0,0.13,0.73,78.53,42.06,8,Q2,-27.910000000000025,Medium
ENT0025,West,Small,337.0,438.81,103.08,1.13,20.8,293.0,0.32,0.49,80.13,59.11,6,Q1,-101.81,Medium
ENT0026,South,Small,500.01,329.59,279.24,0.42,22.4,73.7,0.24,0.82,117.51,56.99,0,Q4,170.42000000000002,Medium
ENT0027,South,Small,246.04,594.07,35.84,1.52,33.2,277.2,0.06,1.0,120.11,41.53,3,Q4,-348.0300000000001,High
ENT0028,South,Small,604.36,387.96,9.08,1.66,29.5,107.1,0.27,0.45,123.07,62.38,10,Q3,216.40000000000003,Medium
ENT0029,West,Small,514.69,404.41,90.17,1.73,29.3,186.6,0.91,0.37,98.57,47.52,7,Q1,110.28000000000003,High
ENT0030,West,Small,449.29,533.58,239.2,0.3,28.1,52.4,0.03,0.61,90.13,68.69,9,Q2,-84.29000000000002,Low
ENT0031,North,Large,440.97,614.21,201.89,1.16,24.9,227.9,0.02,0.68,100.21,46.17,3,Q2,-173.24,Medium
ENT0032,North,Large,636.5,287.67,130.86,1.64,18.2,293.5,0.7,0.7,64.19,45.55,0,Q2,348.83,High
ENT0033,West,Medium,631.72,342.28,76.88,0.34,29.0,236.2,0.37,0.47,127.76,46.39,9,Q3,289.44000000000005,Low
ENT0034,South,Large,463.04,389.73,17.78,0.29,36.7,184.7,0.23,0.33,45.82,40.97,1,Q2,73.31,Low
ENT0035,South,Large,588.77,325.71,101.25,1.65,27.5,134.5,0.51,0.82,119.46,55.59,4,Q4,263.06,High
ENT0036,North,Small,629.51,484.61,138.01,1.61,20.3,103.6,0.27,0.96,80.21,43.18,5,Q1,144.89999999999998,High
ENT0037,West,Small,550.33,314.7,206.11,0.95,25.0,125.7,0.39,0.86,99.84,47.3,0,Q1,235.63000000000005,High
ENT0038,North,Large,469.18,526.66,193.79,0.31,30.8,98.5,0.72,0.68,82.98,54.77,4,Q4,-57.47999999999996,Medium
ENT0039,North,Medium,557.18,462.36,284.2,1.08,31.3,249.8,0.12,0.36,83.28,69.82,7,Q3,94.81999999999994,Medium
ENT0040,East,Small,344.14,516.4,30.12,0.85,33.8,267.9,0.96,0.62,51.19,43.31,7,Q1,-172.26,Medium
ENT0041,East,Large,510.67,315.15,100.9,1.09,31.3,284.9,0.04,0.1,74.6,44.56,1,Q3,195.52000000000004,Medium
ENT0042,East,Large,465.03,361.65,144.47,0.94,16.0,125.5,0.81,0.53,118.21,43.92,8,Q2,103.38,Medium
ENT0043,South,Medium,441.52,489.8,201.21,1.18,27.1,163.9,0.72,0.78,75.5,54.52,1,Q3,-48.28000000000003,High
ENT0044,West,Medium,241.02,471.66,148.64,1.48,18.8,173.1,0.28,0.25,74.65,45.18,3,Q4,-230.64000000000001,High
ENT0045,West,Small,345.86,371.31,273.83,1.57,29.2,195.3,0.12,0.5,97.84,41.08,9,Q3,-25.44999999999999,High
ENT0046,West,Medium,427.12,385.55,182.6,1.33,29.7,0.7,0.85,0.07,53.43,51.03,3,Q1,41.56999999999999,High
ENT0047,West,Large,634.26,356.57,11.9,0.48,21.9,252.8,0.68,0.84,92.98,55.81,3,Q1,277.69,Medium
ENT0048,East,Large,542.87,382.86,34.1,0.85,24.5,80.4,0.29,0.35,105.17,45.15,6,Q2,160.01,Medium
ENT0049,South,Medium,640.95,303.47,226.05,0.24,22.8,141.6,0.02,0.58,107.42,50.98,7,Q1,337.48,Low
ENT0050,South,Medium,686.44,286.68,214.74,0.96,30.1,252.5,0.94,0.38,79.25,52.64,7,Q4,399.76000000000005,High
ENT0051,East,Medium,549.4,500.54,46.05,1.94,25.6,299.1,0.4,0.6,124.16,49.98,3,Q4,48.85999999999996,High
ENT0052,South,Medium,521.04,379.46,17.67,1.32,22.8,238.5,0.18,0.74,120.43,53.22,3,Q1,141.57999999999998,Medium
ENT0053,East,Small,354.05,515.13,173.62,0.39,29.9,7.4,0.91,0.33,65.45,41.5,5,Q1,-161.07999999999998,Medium
ENT0054,West,Medium,798.0,459.6,190.72,0.61,29.0,110.6,0.36,0.52,114.29,39.52,8,Q1,338.4,Medium
ENT0055,East,Small,287.32,431.2,40.59,0.22,30.1,74.2,0.46,0.79,103.03,41.95,4,Q1,-143.88,Medium
ENT0056,West,Large,517.81,328.98,142.09,0.45,18.3,289.2,0.7,0.69,110.2,26.64,1,Q2,188.82999999999993,Medium
ENT0057,West,Medium,624.92,278.92,91.75,1.03,23.1,79.3,0.82,0.06,87.68,38.12,8,Q2,345.99999999999994,Medium
ENT0058,North,Small,627.01,354.31,279.39,0.76,29.4,283.0,0.1,0.57,74.14,57.01,8,Q2,272.7,Medium
ENT0059,East,Medium,326.74,553.19,65.76,0.49,17.7,281.3,0.9,0.38,97.03,56.66,10,Q2,-226.45000000000005,Medium
ENT0060,North,Large,437.01,488.9,219.98,0.38,17.8,251.8,0.93,0.71,107.56,36.88,0,Q2,-51.889999999999986,Medium
ENT0061,East,Large,380.16,344.96,155.44,1.35,22.3,29.4,0.26,0.02,107.93,32.94,8,Q1,35.200000000000045,Medium
ENT0062,East,Large,202.93,355.44,3.46,1.16,29.9,0.6,0.5,0.33,106.85,50.24,6,Q3,-152.51,Medium
