Enterprise_ID,Region,Enterprise_Size,Revenue,Expenses,Loan_Amount,Debt_to_Equity,Avg_Temperature,Rainfall,Drought_Index,Flood_Risk_Score,Commodity_Price_Index,Input_Cost_Index,Policy_Support_Score,Quarter,Net_Profit,Financial_Risk_Level,landholding_size,irrigation_type,yield
ENT0001,East,Large,511.04,620.91,96.82,0.73,40.2,128.1,0.84,0.78,141.44,58.87,2,Q4,-109.86999999999996,Medium,31.949316933840393,Sprinkler,6.220890450846887
ENT0002,West,Small,479.35,428.89,239.25,1.26,23.6,256.6,0.42,0.84,95.88,44.67,3,Q1,50.46000000000004,High,4.802857225639665,Rainfed,5.6571460877750575
ENT0003,North,Medium,277.55,450.88,101.68,0.53,21.2,185.9,0.83,0.86,125.52,56.3,3,Q3,-173.32999999999998,Medium,13.390996987996115,Rainfed,5.4572707178402595
ENT0004,East,Large,516.86,145.1,76.83,1.41,24.3,77.8,0.93,0.48,88.41,61.58,3,Q2,371.76,High,34.790972812593786,Drip,3.6903742074894135
ENT0005,East,Large,402.45,425.76,66.73,1.61,18.4,112.1,0.02,0.4,79.6,42.32,3,Q2,-23.31,Medium,40.04270841173951,Drip,7.06476491823603
ENT0006,West,Large,592.77,260.61,59.97,0.96,24.6,45.0,0.06,0.75,116.28,46.56,4,Q1,332.16,Medium,18.83698680412039,Canal,5.474661621696181
ENT0007,North,Large,438.55,351.3,221.14,1.76,26.4,177.4,0.13,0.57,61.41,61.51,3,Q2,87.25,High,41.236901325215825,Drip,6.563238897918975
ENT0008,North,Small,463.9,404.69,266.25,1.72,31.0,176.0,0.12,0.97,92.97,48.06,1,Q4,59.20999999999998,High,4.46470458309974,Sprinkler,3.8001827625231925
ENT0009,East,Large,280.96,369.79,69.19,1.77,28.5,261.1,0.45,0.38,78.52,55.76,3,Q2,-88.83000000000004,High,17.331979944363113,Sprinkler,1.9726914202908594
ENT0010,South,Medium,228.28,336.4,25.57,1.36,26.7,256.7,0.76,0.04,99.84,46.74,4,Q1,-108.11999999999998,Medium,14.754103676847452,Rainfed,6.412890685450414
ENT0011,East,Small,779.15,337.3,94.13,0.68,36.7,251.1,0.96,0.59,81.05,38.41,1,Q3,441.85,Medium,1.0823379771832098,Sprinkler,3.2332072546290553
ENT0012,East,Large,519.45,378.9,197.35,1.01,29.0,164.7,0.42,0.35,96.97,55.15,2,Q4,140.55000000000007,Medium,17.11527907291974,Drip,4.2525079844235165
ENT0013,East,Small,560.65,374.53,110.56,1.45,33.2,195.6,0.69,0.34,108.43,65.17,4,Q1,186.12,High,4.329770563201687,Drip,2.7866076859633537
ENT0014,East,Medium,363.16,402.03,164.75,0.5,30.5,232.7,0.64,0.56,102.6,54.1,1,Q1,-38.86999999999995,Medium,5.6844070924262615,Drip,6.697417928106638
ENT0015,West,Large,631.33,394.55,223.29,1.5,33.0,27.5,0.39,0.92,89.25,56.15,2,Q2,236.78000000000003,High,31.987071399704632,Borewell,3.934544352295316
ENT0016,North,Medium,604.27,527.89,122.54,1.14,31.7,90.2,0.72,0.27,93.16,56.31,2,Q1,76.38,Medium,6.193810113381968,Sprinkler,3.143229656551283
ENT0017,West,Large,379.64,195.04,299.91,0.28,30.2,50.7,0.59,0.38,145.09,66.63,3,Q3,184.6,Medium,48.27141211600116,Canal,6.084249256379611
ENT0018,West,Large,341.07,424.5,89.38,1.16,29.0,153.4,0.76,0.89,117.66,46.84,2,Q1,-83.43,High,37.19884287080381,Sprinkler,3.159901745737935
ENT0019,West,Large,390.12,407.1,293.47,0.23,33.4,251.3,0.19,0.9,95.36,27.82,1,Q1,-16.980000000000018,Medium,27.386698352413596,Sprinkler,7.609172549835535
ENT0020,East,Large,495.76,386.58,60.91,0.13,23.1,69.2,0.36,0.23,103.57,62.61,1,Q3,109.18,Low,36.11639479756094,Borewell,5.497811555701177
ENT0021,South,Large,525.07,329.42,33.28,1.79,22.3,219.3,0.67,0.71,109.03,35.26,2,Q1,195.65000000000003,High,25.920045713795762,Sprinkler,5.8679759373539335
ENT0022,North,Small,505.76,385.03,225.25,1.03,18.0,121.7,0.12,0.42,84.76,45.18,1,Q3,120.73000000000002,Medium,1.5579754426081673,Rainfed,4.094342461647734
ENT0023,South,Large,694.81,236.65,210.69,1.13,28.6,270.9,0.77,0.94,100.04,42.05,2,Q3,458.16,High,45.464016208704294,Drip,6.212808427938048
ENT0024,West,Large,392.76,420.67,243.35,0.63,31.8,188.0,0.13,0.73,78.53,42.06,3,Q2,-27.910000000000025,Medium,34.53811125978814,Drip,6.604776552418362
ENT0025,West,Small,337.0,438.81,103.08,1.13,20.8,293.0,0.32,0.49,80.13,59.11,3,Q1,-101.81,Medium,2.8242799368681437,Borewell,7.520408542706541
ENT0026,South,Small,500.01,329.59,279.24,0.42,22.4,73.7,0.24,0.82,117.51,56.99,1,Q4,170.42000000000002,Medium,4.140703845572054,Drip,3.169108208595996
ENT0027,South,Small,246.04,594.07,35.84,1.52,33.2,277.2,0.06,1.0,120.11,41.53,2,Q4,-348.0300000000001,High,1.798695128633439,Rainfed,4.271011435069326
ENT0028,South,Small,604.36,387.96,9.08,1.66,29.5,107.1,0.27,0.45,123.07,62.38,4,Q3,216.40000000000003,Medium,3.0569377536544464,Borewell,6.395777013698151
ENT0029,West,Small,514.69,404.41,90.17,1.73,29.3,186.6,0.91,0.37,98.57,47.52,3,Q1,110.28000000000004,High,3.36965827544817,Canal,2.7709360928364393
ENT0030,West,Small,449.29,533.58,239.2,0.3,28.1,52.4,0.03,0.61,90.13,68.69,4,Q2,-84.29000000000002,Low,1.185801650879991,Drip,5.053020335744562
ENT0031,North,Large,440.97,614.21,201.89,1.16,24.9,227.9,0.02,0.68,100.21,46.17,2,Q2,-173.24,Medium,31.488862424921386,Sprinkler,7.710733015330977
ENT0032,North,Large,636.5,287.67,130.86,1.64,18.2,293.5,0.7,0.7,64.19,45.55,1,Q2,348.83,High,43.65582966591282,Rainfed,3.8908696621132397
ENT0033,West,Medium,631.72,342.28,76.88,0.34,29.0,236.2,0.37,0.47,127.76,46.39,4,Q3,289.44000000000005,Low,11.35323346708321,Rainfed,7.927023917403157
ENT0034,South,Large,463.04,389.73,17.78,0.29,36.7,184.7,0.23,0.33,45.82,40.97,1,Q2,73.31,Low,45.01795958846395,Drip,3.284195305399098
ENT0035,South,Large,588.77,325.71,101.25,1.65,27.5,134.5,0.51,0.82,119.46,55.59,2,Q4,263.06,High,46.41280922879239,Canal,5.310677000419538
ENT0036,North,Small,629.51,484.61,138.01,1.61,20.3,103.6,0.27,0.96,80.21,43.18,2,Q1,144.89999999999998,High,4.233589392465845,Sprinkler,4.542510431575423
ENT0037,West,Small,550.33,314.7,206.11,0.95,25.0,125.7,0.39,0.86,99.84,47.3,1,Q1,235.63000000000005,High,2.2184550766934827,Canal,3.8848565644140187
ENT0038,North,Large,469.18,526.66,193.79,0.31,30.8,98.5,0.72,0.68,82.98,54.77,2,Q4,-57.47999999999996,Medium,22.599914141318514,Canal,7.854237007425047
ENT0039,North,Medium,557.18,462.36,284.2,1.08,31.3,249.8,0.12,0.36,83.28,69.82,3,Q3,94.81999999999994,Medium,13.579349139973289,Drip,3.648252002455643
ENT0040,East,Small,344.14,516.4,30.12,0.85,33.8,267.9,0.96,0.62,51.19,43.31,3,Q1,-172.26,Medium,2.760609974958405,Sprinkler,7.479994758404567
ENT0041,East,Large,510.67,315.15,100.9,1.09,31.3,284.9,0.04,0.1,74.6,44.56,1,Q3,195.52000000000004,Medium,21.165386937600104,Drip,6.456202055683051
ENT0042,East,Large,465.03,361.65,144.47,0.94,16.0,125.5,0.81,0.53,118.21,43.92,3,Q2,103.38,Medium,36.25433345355208,Drip,4.294980366498164
ENT0043,South,Medium,441.52,489.8,201.21,1.18,27.1,163.9,0.72,0.78,75.5,54.52,1,Q3,-48.28000000000003,High,12.19245200575832,Rainfed,5.551351177842988
ENT0044,West,Medium,241.02,471.66,148.64,1.48,18.8,173.1,0.28,0.25,74.65,45.18,2,Q4,-230.64,High,14.301652028625501,Drip,3.3290865521463466
ENT0045,West,Small,345.86,371.31,273.83,1.57,29.2,195.3,0.12,0.5,97.84,41.08,4,Q3,-25.44999999999999,High,2.0351199264000677,Borewell,6.393585781001982
ENT0046,West,Medium,427.12,385.55,182.6,1.33,29.7,0.7,0.85,0.07,53.43,51.03,2,Q1,41.56999999999999,High,7.589042747931396,Sprinkler,3.936412052081014
ENT0047,West,Large,634.26,356.57,11.9,0.48,21.9,252.8,0.68,0.84,92.98,55.81,2,Q1,277.69,Medium,41.703210747904635,Rainfed,7.254654137166205
ENT0048,East,Large,542.87,382.86,34.1,0.85,24.5,80.4,0.29,0.35,105.17,45.15,3,Q2,160.01,Medium,41.582029921590745,Sprinkler,6.183145592225243
ENT0049,South,Medium,640.95,303.47,226.05,0.24,22.8,141.6,0.02,0.58,107.42,50.98,3,Q1,337.48,Low,6.2130299800553415,Rainfed,3.7052331679186357
ENT0050,South,Medium,686.44,286.68,214.74,0.96,30.1,252.5,0.94,0.38,79.25,52.64,3,Q4,399.7600000000001,High,8.027751282719672,Borewell,5.364581279775575
ENT0051,East,Medium,549.4,500.54,46.05,1.94,25.6,299.1,0.4,0.6,124.16,49.98,2,Q4,48.85999999999996,High,10.324709078838975,Drip,3.191497776839674
ENT0052,South,Medium,521.04,379.46,17.67,1.32,22.8,238.5,0.18,0.74,120.43,53.22,2,Q1,141.57999999999998,Medium,10.644165877797477,Rainfed,5.059613139470813
ENT0053,East,Small,354.05,515.13,173.62,0.39,29.9,7.4,0.91,0.33,65.45,41.5,2,Q1,-161.07999999999998,Medium,4.757995766256757,Rainfed,3.8514779212601686
ENT0054,West,Medium,798.0,459.6,190.72,0.61,29.0,110.6,0.36,0.52,114.29,39.52,3,Q1,338.4,Medium,6.662553303497006,Rainfed,3.1100805783355927
ENT0055,East,Small,287.32,431.2,40.59,0.22,30.1,74.2,0.46,0.79,103.03,41.95,2,Q1,-143.88,Medium,3.3915999152443406,Borewell,4.059432697249788
ENT0056,West,Large,517.81,328.98,142.09,0.45,18.3,289.2,0.7,0.69,110.2,26.64,1,Q2,188.83,Medium,23.4044317158032,Sprinkler,5.681860118620628
ENT0057,West,Medium,624.92,278.92,91.75,1.03,23.1,79.3,0.82,0.06,87.68,38.12,3,Q2,345.99999999999994,Medium,14.698188646337847,Borewell,5.40780483888673
ENT0058,North,Small,627.01,354.31,279.39,0.76,29.4,283.0,0.1,0.57,74.14,57.01,3,Q2,272.7,Medium,1.7839314496765808,Rainfed,5.507485477680318
ENT0059,East,Medium,326.74,553.19,65.76,0.49,17.7,281.3,0.9,0.38,97.03,56.66,4,Q2,-226.45000000000005,Medium,14.226037570939578,Rainfed,4.238434392233007
ENT0060,North,Large,437.01,488.9,219.98,0.38,17.8,251.8,0.93,0.71,107.56,36.88,1,Q2,-51.88999999999999,Medium,15.998200869352688,Drip,6.425806003070931
ENT0061,East,Large,380.16,344.96,155.44,1.35,22.3,29.4,0.26,0.02,107.93,32.94,3,Q1,35.200000000000045,Medium,46.82564512421173,Borewell,6.521316434101729
ENT0062,East,Large,202.93,355.44,3.46,1.16,29.9,0.6,0.5,0.33,106.85,50.24,3,Q3,-152.51,Medium,15.287809598611203,Borewell,4.789839127798327
ENT0063,North,Medium,519.55,307.09,155.1,1.7,26.1,238.2,0.86,0.09,78.49,55.28,1,Q2,212.46,High,11.66685651892513,Canal,6.088763127387194
ENT0064,North,Medium,392.36,245.29,29.84,0.45,28.5,253.0,0.49,0.92,127.41,42.13,1,Q3,147.07000000000002,Medium,11.233795659599071,Sprinkler,6.220116083177739
ENT0065,East,Small,725.82,410.16,197.72,1.71,21.1,288.7,0.48,0.88,123.85,44.08,1,Q2,315.66,High,2.123738038749523,Canal,5.235299773244063
ENT0066,South,Large,592.28,572.51,169.66,1.2,21.0,65.5,0.62,0.97,104.93,57.77,3,Q3,19.769999999999985,High,46.247857885646,Canal,3.545832347862605
ENT0067,West,Medium,506.21,573.76,3.13,0.61,33.0,219.9,0.77,0.64,80.94,66.8,1,Q1,-67.55000000000001,Medium,10.286566039892756,Sprinkler,3.003058175777935
ENT0068,North,Large,429.1,460.79,61.41,0.62,28.1,155.7,0.67,0.81,105.25,44.09,4,Q1,-31.69,Medium,38.52819524302118,Drip,7.3268780605105475
ENT0069,West,Large,517.27,339.73,232.87,0.84,20.6,98.5,0.63,0.61,91.44,55.59,1,Q4,177.53999999999996,High,15.1868699689391,Drip,5.5442760474390145
ENT0070,South,Small,461.62,255.05,82.73,0.97,16.1,181.9,0.37,0.49,92.95,49.63,1,Q1,206.57,Medium,4.947547746402069,Sprinkler,3.615959440214151
